CHILDCODE	FOODIDR5	HHCONSR5	VLRPR5	OWNVR5	GFTVR5	GFSRR5
10040	13	1	50	0	0	 
10040	14	1	16	0	0	 
10040	15	1	15	0	0	 
10040	16	1	10	0	0	 
10040	17	0	 	 	 	 
10040	18	1	45	0	0	 
10040	19	0	 	 	 	 
10040	20	0	 	 	 	 
10040	21	0	 	 	 	 
10040	24	0	 	 	 	 
10041	0	1	20	0	0	 
10041	1	0	 	 	 	 
10041	2	1	0	210	0	 
10041	3	1	40	0	0	 
10041	4	0	 	 	 	 
10041	5	0	 	 	 	 
10041	6	1	600	0	0	 
10041	7	0	 	 	 	 
10041	8	0	 	 	 	 
10041	9	1	300	0	0	 
10041	10	0	 	 	 	 
10041	11	1	30	0	0	 
10041	12	1	0	30	0	 
10041	13	1	70	0	0	 
10041	14	1	20	0	0	 
10041	15	1	42	0	0	 
10041	16	1	50	0	0	 
10041	17	0	 	 	 	 
10041	18	0	 	 	 	 
10041	19	1	30	0	0	 
10041	20	0	 	 	 	 
10041	21	1	100	0	0	 
10041	24	0	 	 	 	 
10042	0	0	 	 	 	 
10042	1	0	 	 	 	 
10042	2	1	0	180	0	 
10042	3	0	 	 	 	 
10042	4	0	 	 	 	 
10042	5	0	 	 	 	 
10042	6	1	140	0	0	 
10042	7	0	 	 	 	 
10042	8	1	0	0	90	1
10042	9	1	150	0	0	 
10042	10	0	 	 	 	 
