CHILDID	PLANID	PLAN
IN080076	1	10
IN080076	2	7
IN080077	1	5
IN080077	2	3
IN080078	1	8
IN080078	2	10
IN080079	1	7
IN080079	2	10
IN080080	1	8
IN080080	2	10
IN080081	1	10
IN080082	1	1
IN080083	1	9
IN080084	1	8
IN080085	1	8
IN080086	1	5
IN080086	2	10
IN080087	1	3
IN080087	2	7
IN080088	1	4
IN080088	2	7
IN080089	1	8
IN080089	2	10
IN080090	1	10
IN080090	2	2
IN080091	1	10
IN080091	2	5
IN080092	1	8
IN080093	1	8
IN080094	1	8
IN080094	2	10
IN080095	1	10
IN080096	1	10
IN080096	2	2
IN080097	1	10
IN080097	2	7
IN080098	1	7
IN080099	1	8
IN080099	2	10
IN080100	1	10
IN080100	2	8
IN090001	1	10
IN090001	2	10
IN090002	1	10
IN090002	2	10
IN090004	1	8
IN090005	1	10
IN090005	2	8
IN090006	1	8
IN090006	2	10
IN090007	1	10
IN090007	2	8
IN090008	1	8
IN090009	1	10
IN090009	2	8
IN090010	1	8
IN090011	1	10
IN090011	2	8
IN090012	1	5
IN090012	2	10
IN090013	1	8
IN090013	2	10
IN090014	1	8
IN090014	2	10
IN090015	1	8
IN090016	1	8
IN090017	1	8
IN090017	2	10
IN090018	1	10
IN090018	2	10
IN090019	1	10
IN090019	2	8
IN090020	1	8
IN090021	1	8
IN090022	1	10
IN090022	2	10
IN090023	1	10
IN090023	2	10
IN090024	1	10
IN090024	2	10
IN090025	1	8
IN090026	1	5
IN090026	2	10
IN090027	1	8
IN090028	1	10
IN090028	2	8
IN090029	1	8
IN090030	1	8
IN090031	1	8
IN090032	1	8
IN090033	1	8
IN090034	1	8
IN090034	2	10
IN090035	1	8
IN090035	2	10
IN090036	1	8
IN090036	2	10
IN090037	1	8
IN090038	1	8
IN090038	2	10
IN090039	1	8
IN090039	2	4
IN090040	1	8
IN090041	1	8
IN090042	1	8
IN090043	1	8
IN090043	2	10
IN090044	1	8
IN090044	2	10
IN090045	1	5
IN090045	2	10
IN090046	1	10
IN090046	2	8
IN090047	1	8
IN090047	2	10
IN090048	1	10
IN090048	2	8
IN090049	1	1
IN090050	1	10
IN090050	2	2
IN090051	1	8
IN090051	2	10
IN090052	1	2
IN090052	2	8
IN090053	1	8
IN090053	2	10
IN090054	1	8
IN090054	2	10
IN090055	1	8
IN090055	2	10
IN090056	1	8
IN090056	2	10
IN090057	1	8
IN090057	2	10
IN090058	1	8
IN090058	2	10
IN090059	1	8
IN090059	2	2
IN090060	1	8
IN090060	2	2
IN090061	1	8
IN090061	2	10
IN090062	1	8
IN090062	2	10
IN090063	1	10
IN090063	2	8
IN090064	1	10
IN090064	2	8
IN090065	1	8
IN090065	2	10
IN090066	1	10
IN090066	2	8
IN090067	1	10
IN090067	2	2
IN090068	1	10
IN090068	2	2
IN090069	1	8
IN090069	2	10
IN090070	1	8
IN090070	2	10
IN090071	1	8
IN090072	1	8
IN090072	2	10
IN090073	1	2
IN090073	2	8
IN090074	1	8
IN090074	2	2
IN090075	1	10
IN090075	2	8
IN090076	1	2
IN090076	2	8
IN090077	1	10
IN090077	2	8
IN090078	1	10
IN090078	2	8
IN090079	1	10
IN090079	2	8
IN090080	1	10
IN090080	2	8
IN090081	1	8
IN090082	1	8
IN090082	2	10
IN090083	1	10
IN090083	2	5
IN090084	1	4
IN090084	2	7
IN090085	1	10
IN090085	2	7
IN090086	1	99
IN090087	1	5
IN090088	1	8
IN090089	1	10
IN090089	2	7
IN090090	1	10
IN090090	2	10
IN090091	1	8
IN090092	1	8
IN090092	2	10
IN090093	1	8
IN090094	1	10
IN090095	1	10
