CHILDCODE	SCSTIDR4	FEESR4	PAYPERR4	NUMPERR4
48026	2	 	 	 
48026	3	 	 	 
48026	4	 	 	 
48026	5	 	 	 
48026	6	 	 	 
48026	7	 	 	 
48026	8	 	 	 
58002	1	 	 	 
58002	2	 	 	 
58002	3	 	 	 
58002	4	 	 	 
58002	5	 	 	 
58002	6	 	 	 
58002	7	 	 	 
58002	8	 	 	 
58003	1	30	6	2
58003	2	0	88	0
58003	3	0	88	0
58003	4	0	88	0
58003	5	5	1	32
58003	6	0	88	0
58003	7	0	88	0
58003	8	100	3	1
58004	1	50	6	2
58004	2	160	2	10
58004	3	0	88	0
58004	4	0	88	0
58004	5	0	88	0
58004	6	10	1	40
58004	7	0	88	0
58004	8	60	3	1
58006	1	100	6	2
58006	2	120	2	12
58006	3	20	2	12
58006	4	0	88	-88
58006	5	15	1	48
58006	6	20	1	48
58006	7	25	3	1
58006	8	0	88	-88
58007	1	 	 	 
58007	2	 	 	 
58007	3	 	 	 
58007	4	 	 	 
58007	5	 	 	 
58007	6	 	 	 
58007	7	 	 	 
58007	8	 	 	 
58008	1	 	 	 
58008	2	 	 	 
58008	3	 	 	 
58008	4	 	 	 
58008	5	 	 	 
58008	6	 	 	 
58008	7	 	 	 
58008	8	 	 	 
58011	1	 	 	 
58011	2	 	 	 
58011	3	 	 	 
58011	4	 	 	 
58011	5	 	 	 
58011	6	 	 	 
58011	7	 	 	 
58011	8	 	 	 
58012	1	0	88	0
58012	2	0	88	0
58012	3	70	6	1
58012	4	0	88	0
58012	5	60	2	9
58012	6	0	88	0
58012	7	0	88	0
58012	8	100	3	1
58013	1	 	 	 
58013	2	 	 	 
58013	3	 	 	 
58013	4	 	 	 
58013	5	 	 	 
58013	6	 	 	 
58013	7	 	 	 
58013	8	 	 	 
58014	1	79	6	2
58014	2	-88	88	-88
58014	3	-88	88	-88
58014	4	-88	88	-88
58014	5	-88	88	-88
58014	6	-88	88	-88
58014	7	200	3	1
58014	8	150	3	1
58015	1	 	 	 
58015	2	 	 	 
58015	3	 	 	 
58015	4	 	 	 
58015	5	 	 	 
58015	6	 	 	 
58015	7	 	 	 
58015	8	 	 	 
58016	1	 	 	 
58016	2	 	 	 
58016	3	 	 	 
58016	4	 	 	 
58016	5	 	 	 
58016	6	 	 	 
58016	7	 	 	 
58016	8	 	 	 
58017	1	 	 	 
58017	2	 	 	 
58017	3	 	 	 
58017	4	 	 	 
58017	5	 	 	 
58017	6	 	 	 
58017	7	 	 	 
58017	8	 	 	 
58019	1	180	6	2
58019	2	0	88	-88
58019	3	0	88	-88
58019	4	0	88	-88
58019	5	40	1	44
58019	6	40	1	44
58019	7	100	3	1
58019	8	200	3	1
58020	1	 	 	 
58020	2	 	 	 
58020	3	 	 	 
58020	4	 	 	 
58020	5	 	 	 
58020	6	 	 	 
58020	7	 	 	 
58020	8	 	 	 
58021	1	 	 	 
58021	2	 	 	 
58021	3	 	 	 
58021	4	 	 	 
58021	5	 	 	 
58021	6	 	 	 
58021	7	 	 	 
58021	8	 	 	 
58022	1	 	 	 
58022	2	 	 	 
58022	3	 	 	 
58022	4	 	 	 
58022	5	 	 	 
58022	6	 	 	 
58022	7	 	 	 
58022	8	 	 	 
58023	1	184	6	2
58023	2	184	2	10
58023	3	-88	88	-88
58023	4	-88	88	-88
58023	5	-88	88	-88
58023	6	72	2	10
58023	7	-88	88	-88
58023	8	350	6	2
58025	1	200	3	1
58025	2	100	2	10
58025	3	0	88	-88
58025	4	0	88	-88
58025	5	0	88	-88
58025	6	80	2	10
58025	7	0	88	-88
58025	8	120	3	1
58026	1	150	6	2
58026	2	-88	88	-88
58026	3	-88	88	-88
58026	4	-88	88	-88
58026	5	-88	88	-88
58026	6	3	88	12
58026	7	-88	88	-88
58026	8	100	88	1
58027	1	40	6	4
58027	2	90	2	16
58027	3	0	88	-88
58027	4	0	88	-88
58027	5	0	88	-88
58027	6	0	88	-88
58027	7	0	88	-88
58027	8	30	2	16
58028	1	 	 	 
58028	2	 	 	 
58028	3	 	 	 
58028	4	 	 	 
58028	5	 	 	 
58028	6	 	 	 
58028	7	 	 	 
58028	8	 	 	 
58029	1	 	 	 
58029	2	 	 	 
58029	3	 	 	 
58029	4	 	 	 
58029	5	 	 	 
58029	6	 	 	 
58029	7	 	 	 
58029	8	 	 	 
58030	1	 	 	 
58030	2	 	 	 
58030	3	 	 	 
58030	4	 	 	 
58030	5	 	 	 
58030	6	 	 	 
58030	7	 	 	 
58030	8	 	 	 
68001	1	200	6	2
68001	2	245	2	9
68001	3	8	1	36
68001	4	0	88	0
68001	5	15	1	36
68001	6	20	1	36
68001	7	0	88	0
68001	8	0	88	0
68002	1	120	6	2
68002	2	0	88	0
68002	3	0	88	0
68002	4	0	88	0
68002	5	7,5	1	36
68002	6	16	1	200
68002	7	0	88	0
68002	8	0	88	0
68003	1	 	 	 
68003	2	 	 	 
68003	3	 	 	 
68003	4	 	 	 
68003	5	 	 	 
68003	6	 	 	 
68003	7	 	 	 
68003	8	 	 	 
68004	1	128	3	1
68004	2	0	88	-88
68004	3	100	4	2
68004	4	0	88	-88
68004	5	30	1	48
68004	6	10	1	48
68004	7	0	88	-88
68004	8	0	88	-88
68005	1	 	 	 
68005	2	 	 	 
68005	3	 	 	 
68005	4	 	 	 
68005	5	 	 	 
68005	6	 	 	 
68005	7	 	 	 
68005	8	 	 	 
68006	1	280	3	1
68006	2	0	88	0
68006	3	0	88	0
68006	4	0	88	0
68006	5	15	2	3
68006	6	48	2	10
68006	7	48	2	3
68006	8	100	6	1
68007	1	70	6	2
68007	2	140	2	9
68007	3	70	2	9
68007	4	0	88	0
68007	5	35	1	45
68007	6	200	2	9
68007	7	0	88	0
68007	8	0	88	0
68008	1	300	3	1
68008	2	0	88	-88
68008	3	500	3	1
68008	4	0	88	-88
68008	5	0	88	-88
68008	6	1400	3	1
68008	7	0	88	-88
68008	8	10	3	1
68009	1	300	3	2
68009	2	0	88	0
68009	3	500	3	1
68009	4	0	88	0
68009	5	0	88	0
68009	6	30	1	5
68009	7	0	88	0
68009	8	0	88	0
68010	1	300	6	2
68010	2	412,5	2	8
68010	3	80	2	8
68010	4	0	88	88
68010	5	30	1	32
68010	6	30	1	32
68010	7	30	3	1
68010	8	120	3	1
68011	1	 	 	 
68011	2	 	 	 
68011	3	 	 	 
68011	4	 	 	 
68011	5	 	 	 
68011	6	 	 	 
68011	7	 	 	 
68011	8	 	 	 
68012	1	 	 	 
68012	2	 	 	 
68012	3	 	 	 
68012	4	 	 	 
68012	5	 	 	 
68012	6	 	 	 
68012	7	 	 	 
68012	8	 	 	 
68013	1	60	6	2
68013	2	150	2	9
68013	3	0	88	0
68013	4	0	88	0
68013	5	0	88	0
68013	6	0	88	0
68013	7	0	88	0
68013	8	25	6	2
68015	1	 	 	 
68015	2	 	 	 
68015	3	 	 	 
68015	4	 	 	 
68015	5	 	 	 
68015	6	 	 	 
68015	7	 	 	 
68015	8	 	 	 
68016	1	216	3	1
