CHILDCODE	EDCHSTR4	ATDSCHR4	GRDER4	TYSCR4	SMESCHR4	DEPTR4
58006	10	1	11	4	1	 
58006	11	1	13	1	0	22
58006	12	1	13	1	1	 
58006	13	1	13	1	1	 
58007	9	1	8	1	0	22
58007	10	1	9	4	0	22
58007	11	1	10	4	1	 
58007	12	1	11	1	0	22
58007	13	0	 	 	 	 
58008	9	1	8	4	1	 
58008	10	1	9	4	1	 
58008	11	1	10	4	1	 
58008	12	1	11	4	1	 
58008	13	0	 	 	 	 
58011	9	1	9	4	1	 
58011	10	1	10	4	1	 
58011	11	1	11	4	1	 
58011	12	0	 	 	 	 
58011	13	0	 	 	 	 
58012	9	1	7	4	1	 
58012	10	1	8	4	1	 
58012	11	1	9	4	1	 
58012	12	1	10	4	1	 
58012	13	1	11	4	1	 
58013	9	1	8	4	1	 
58013	10	1	9	4	1	 
58013	11	1	10	4	1	 
58013	12	1	11	4	1	 
58013	13	0	 	 	 	 
58014	9	1	9	4	1	 
58014	10	1	10	4	1	 
58014	11	1	11	4	1	 
58014	12	0	 	 	 	 
58014	13	1	15	4	0	22
58015	9	1	6	4	1	 
58015	10	1	7	4	0	22
58015	11	0	 	 	 	 
58015	12	0	 	 	 	 
58015	13	0	 	 	 	 
58016	9	1	6	4	1	 
58016	10	1	7	4	1	 
58016	11	1	8	4	1	 
58016	12	1	9	4	1	 
58016	13	0	 	 	 	 
58017	9	1	9	4	1	 
58017	10	1	10	4	1	 
58017	11	1	11	4	1	 
58017	12	0	 	 	 	 
58017	13	0	 	 	 	 
58019	9	1	9	4	1	 
58019	10	1	10	4	1	 
58019	11	1	11	4	1	 
58019	12	0	 	 	 	 
58019	13	1	13	4	0	22
58020	9	1	9	4	0	22
58020	10	0	 	 	 	 
58020	11	0	 	 	 	 
58020	12	0	 	 	 	 
58020	13	0	 	 	 	 
58021	9	0	 	 	 	 
58021	10	1	8	4	0	22
58021	11	0	 	 	 	 
58021	12	0	 	 	 	 
58021	13	1	9	4	0	22
58022	9	1	9	4	1	 
58022	10	1	10	4	1	 
58022	11	1	11	4	1	 
58022	12	0	 	 	 	 
58022	13	0	 	 	 	 
58023	9	1	10	4	1	 
58023	10	1	11	4	1	 
58023	11	0	 	 	 	 
58023	12	1	13	1	0	22
58023	13	1	13	1	1	 
58025	9	1	9	4	0	22
58025	10	1	10	4	1	 
58025	11	1	11	4	1	 
58025	12	0	 	 	 	 
58025	13	1	13	4	0	22
58026	9	1	9	4	1	 
58026	10	1	10	4	1	 
58026	11	1	11	4	1	 
58026	12	1	13	4	0	22
58026	13	1	13	4	1	 
58027	9	1	9	4	1	 
58027	10	1	10	4	1	 
58027	11	1	11	4	1	 
58027	12	1	18	1	0	22
58027	13	1	18	1	1	 
58028	9	1	9	4	1	 
58028	10	1	10	4	1	 
58028	11	1	11	4	1	 
