CHILDCODE	EDCHSTR5	GRDER5	CMPGRDR5	TYSCR5	SMESCHR5	PROVR5	DSSCR5	COD_MOD	ANEXO	NMSCSCR5	NIV_MOD	D_NIV_MOD	GESTION	D_GESTION	GES_DEP	D_GES_DEP	COD_ENAHO	TYSCR5_C	NMSCLSR5_C
28014	13	13	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
28014	14	13	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
28014	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28014	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28015	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28015	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28015	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28015	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28016	13	11	1	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
28016	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28016	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28016	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28017	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28017	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28017	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28017	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28018	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28018	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28018	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28018	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28020	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28020	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28020	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28020	16	15	 	1	0	 	 	 	 	 	 	 	 	 	 	 	 	4	 
28021	13	13	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
28021	14	14	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
28021	15	0	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28021	16	0	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28022	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
