PLACEID	STRTDINT	DISTRID	CLUSTID	MAPLOC	CHRINF1	CHRINF2	CHRINF3	POPSIZE	PAVEDN	EARTHN	UNPAVEDN	TRACKSN	RIVERN	RAILN	OTTRANN	MAINRTR4	FACTORY	KNDFACE1	NTRLDIST	SOCINF1	SOCINF2	SOCINF3	ACCINF1	ACCINF2	ACCINF3	ECNINF1	ECNINF2	ECNINF3	LPRINF1	LPRINF2	LPRINF3	LPRINF4	LPRINF5	LPRINF6	LPRINF7	LPRINF8	LPRINF9	LPRINF10
138	03/03/2014 12:21:52	VISHAKAPATNAM	99	0	1	2	3	6955	0	0	1	0	0	1	0	3	1	1	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
341	26/02/2014 17:37:20	VIJAYANAGARAM	99	0	1	2	3	2692	0	0	1	0	0	0	0	3	0	 	0	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
342	25/02/2014 16:36:14	VIJAYANAGARAM	99	0	1	2	3	171	1	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
343	25/02/2014 20:49:17	VIJAYANAGARAM	99	0	1	2	3	414	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
344	26/02/2014 17:42:31	SRIKAKULAM	99	0	1	2	3	1278	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
345	05/03/2014 14:05:25	SRIKAKULAM	99	0	1	2	3	350	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
346	03/03/2014 14:51:38	VIJAYANAGARAM	99	0	1	2	3	6000	0	0	1	0	0	1	0	3	0	 	0	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
347	04/03/2014 11:14:44	EAST GODAVARI	99	0	1	2	3	1870	0	0	1	0	0	1	0	3	1	11	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
348	04/03/2014 14:14:56	EAST GODAVARI	99	0	1	2	3	1093	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
349	04/03/2014 15:41:16	KAMMAM	99	0	1	2	3	420	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
350	05/03/2014 10:27:53	PRAKASAM	99	0	1	2	3	4000	0	0	1	0	0	0	0	3	0	 	0	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
