placeid	rsid	module	section	ageres	sexres	capac	livres
PE05C03	8	1	1	24	2	2	3
PE05C03	9	1	1	40	1	8	19
PE05C03	10	1	5	26	2	7	15
PE05C03	11	1	5	38	2	7	38
PE05C03	12	2	1	34	2	4	15
PE05C03	13	2	1	38	1	4	4
PE05C03	14	2	4	35	2	3	28
PE05C03	15	2	4	42	2	3	11
PE05C03	16	2	5	43	1	2	14
PE05C03	17	1	5	19	2	7	7
PE05C03	18	1	5	40	2	7	20
PE05C03	88	 	 	 	 	 	 
PE05C04	1	1	1	49	1	1	8
PE05C04	2	1	1	48	1	2	25
PE05C04	3	2	5	58	1	1	25
PE05C04	4	1	1	36	1	1	18
PE05C04	5	2	3	36	1	3	14
PE05C04	6	1	1	26	2	8	7
PE05C04	7	1	1	33	2	1	32
PE05C04	8	1	1	35	2	1	8
PE05C04	9	1	1	44	2	8	14
PE05C04	10	1	1	38	2	1	18
PE05C04	11	1	1	29	2	1	7
PE05C04	12	1	1	26	2	1	8
PE05C04	13	1	1	45	2	8	16
PE05C04	14	1	1	40	2	8	12
PE05C04	15	2	1	40	1	4	9
PE05C04	16	1	1	41	1	8	27
PE05C04	17	1	1	60	1	1	10
PE05C04	18	1	5	17	2	7	16
PE05C04	19	1	5	19	2	7	7
PE05C04	20	2	4	35	2	3	1
PE05C04	21	2	4	32	2	3	2
PE05C04	22	1	5	43	2	7	10
PE05C04	23	1	5	40	2	7	20
PE05C04	24	2	5	43	1	2	14
PE05C04	25	2	2	41	2	4	22
PE05C04	88	 	 	 	 	 	 
PE05C05	1	2	1	42	1	4	3
PE05C05	2	2	2	38	2	4	15
PE05C05	3	1	5	26	2	7	26
PE05C05	4	1	5	48	1	7	10
PE05C05	5	1	1	40	2	8	10
PE05C05	6	1	1	38	2	1	11
PE05C05	7	1	1	53	2	1	30
PE05C05	8	2	4	24	2	3	23
PE05C05	9	1	1	21	2	8	13
PE05C05	10	1	1	27	2	8	1
PE05C05	11	1	1	25	2	8	13
PE05C05	12	1	1	50	1	2	25
PE05C05	13	1	1	45	1	2	18
PE05C05	14	1	1	28	2	1	1
PE05C05	15	1	1	52	1	1	18
PE05C05	16	1	1	59	1	2	30
PE05C05	17	2	5	52	1	1	23
PE05C05	18	2	5	50	1	1	18
PE05C05	19	1	1	52	2	8	10
PE05C05	20	1	5	43	2	7	10
PE05C05	21	1	5	40	2	7	20
PE05C05	22	1	5	31	1	7	10
PE05C05	23	1	5	32	1	3	2
PE05C05	24	2	5	43	1	2	14
PE05C05	88	 	 	 	 	 	 
PE05C07	1	1	1	48	1	2	13
PE05C07	2	1	1	70	1	2	26
PE05C07	3	1	1	55	1	1	30
PE05C07	4	1	1	46	2	1	10
PE05C07	5	1	1	50	1	8	38
PE05C07	6	1	1	41	1	8	15
PE05C07	7	1	1	42	1	8	24
PE05C07	8	1	1	46	1	8	27
PE05C07	9	1	1	25	1	8	22
PE05C07	10	1	1	37	1	8	26
PE05C07	11	1	5	34	2	7	11
PE05C07	12	2	4	39	1	3	31
PE05C07	13	1	1	31	1	1	1
PE05C07	14	1	1	42	2	1	20
PE05C07	15	2	1	37	2	4	12
PE05C07	16	2	3	46	2	4	15
PE05C07	17	1	5	35	2	7	35
PE05C07	18	1	5	27	1	7	22
PE05C07	19	1	5	45	1	7	10
PE05C07	20	1	5	46	1	7	24
PE05C07	21	1	5	49	2	7	30
PE05C07	22	1	5	38	1	3	10
PE05C07	23	2	5	30	2	2	30
PE05C07	24	2	3	30	1	4	3
PE05C07	88	 	 	 	 	 	 
PE05C08	1	1	1	51	1	2	25
PE05C08	2	1	1	27	2	1	10
PE05C08	3	1	1	46	2	1	25
PE05C08	4	1	4	50	1	3	25
PE05C08	5	1	4	48	1	8	13
PE05C08	6	1	1	39	2	8	13
PE05C08	7	1	4	29	1	8	25
PE05C08	8	1	1	22	1	8	22
PE05C08	9	1	1	28	1	8	21
PE05C08	10	1	1	28	2	8	28
PE05C08	11	1	1	40	1	2	13
PE05C08	12	2	1	40	1	4	4
PE05C08	13	1	5	35	2	7	35
PE05C08	14	1	5	45	1	7	10
PE05C08	15	1	5	31	1	7	10
PE05C08	16	1	5	49	2	7	30
PE05C08	17	1	5	27	1	7	22
PE05C08	18	1	5	46	1	7	24
PE05C08	19	1	5	38	1	7	10
PE05C08	20	1	5	-79	 	7	 
PE05C08	21	2	5	30	2	2	30
PE05C08	22	2	4	32	1	3	2
PE05C08	23	2	4	27	2	3	2
PE05C09	1	1	1	53	1	1	20
PE05C09	2	1	1	52	1	2	15
PE05C09	3	1	1	62	1	1	44
PE05C09	4	1	1	30	2	6	22
PE05C09	5	2	4	53	2	3	34
PE05C09	6	1	1	40	1	5	35
PE05C09	7	1	1	58	1	8	18
PE05C09	8	1	1	45	2	8	35
PE05C09	9	1	1	46	2	8	30
PE05C09	10	1	5	55	2	7	18
PE05C09	11	1	5	46	2	7	27
PE05C09	12	1	1	40	1	8	20
PE05C09	13	2	1	42	1	4	12
PE05C09	14	1	5	31	1	7	10
PE05C09	15	1	5	49	2	7	30
PE05C09	16	1	5	35	1	7	35
PE05C09	17	1	5	45	1	7	10
PE05C09	18	2	4	38	1	3	10
PE05C09	19	2	4	31	2	3	31
PE05C09	20	2	5	30	2	6	30
PE05C09	88	 	 	 	 	 	 
PE05C10	1	1	1	52	1	1	52
PE05C10	2	1	1	42	1	1	42
PE05C10	3	1	1	46	1	1	23
PE05C10	4	1	1	40	1	1	12
PE05C10	5	1	1	48	1	1	25
PE05C10	6	1	1	39	1	1	12
PE05C10	7	1	1	54	1	1	35
PE05C10	8	1	1	31	2	6	28
PE05C10	9	1	1	34	2	6	34
PE05C10	10	1	1	60	2	6	60
PE05C10	11	1	1	32	2	1	20
PE05C10	12	2	4	32	1	3	2
PE05C10	13	2	4	27	2	3	2
PE05C10	14	2	4	38	1	8	12
PE05C10	15	2	5	30	2	6	30
PE05C10	16	2	3	33	2	4	4
PE05C10	17	2	3	42	1	4	7
PE05C10	18	2	4	31	2	3	31
PE05C10	19	1	5	65	2	7	65
PE05C10	20	1	5	56	2	7	2
PE05C10	21	1	5	52	1	7	28
PE05C10	22	1	5	39	2	7	6
PE05C10	23	1	5	17	1	7	17
PE05C10	24	1	2	67	1	8	22
PE05C10	25	1	2	39	2	8	39
PE05C10	26	1	2	31	2	8	31
PE05C10	88	 	 	 	 	 	 
PE05C11	1	1	1	28	1	1	14
PE05C11	2	1	1	48	1	2	28
PE05C11	3	1	1	52	1	1	32
PE05C11	4	1	1	31	1	2	20
PE05C11	5	1	1	40	1	1	18
PE05C11	6	1	1	22	2	8	19
PE05C11	7	1	1	47	2	6	30
PE05C11	8	1	1	21	2	6	21
PE05C11	9	1	1	23	2	8	6
PE05C11	10	1	1	37	2	6	10
PE05C11	11	1	1	31	2	8	3
PE05C11	12	2	4	38	1	3	17
PE05C11	13	2	5	38	1	1	14
PE05C11	14	1	1	60	2	2	28
PE05C11	15	2	3	31	2	4	3
PE05C11	16	1	5	40	1	7	10
PE05C11	17	1	5	43	2	7	10
PE05C11	18	1	5	31	1	7	10
PE05C11	19	1	5	26	2	7	1
PE05C11	20	2	5	43	1	2	14
PE05C11	21	2	4	48	2	3	30
PE05C11	88	 	 	 	 	 	 
PE06C01	1	1	1	36	1	1	15
PE06C01	2	1	1	36	1	1	20
PE06C01	3	1	1	34	1	1	7
PE06C01	4	1	1	30	1	1	30
PE06C01	5	1	1	26	2	8	26
PE06C01	6	1	3	41	1	2	20
PE06C01	7	1	3	44	2	2	37
PE06C01	8	2	4	48	1	3	11
PE06C01	9	2	4	55	1	3	32
PE06C01	10	1	1	50	2	8	50
PE06C01	11	1	1	40	1	8	32
PE06C01	12	1	5	29	2	7	29
PE06C01	13	1	5	39	2	7	26
PE06C01	14	1	5	48	2	3	18
PE06C01	15	1	5	39	2	7	28
PE06C01	16	1	5	40	1	7	3
PE06C01	17	1	5	22	1	7	3
PE06C01	18	1	5	35	1	7	7
PE06C01	19	2	1	35	1	4	1
PE06C01	20	2	2	28	2	8	28
PE06C01	21	2	2	38	2	8	32
PE06C01	22	2	2	39	2	8	39
PE06C01	23	2	3	40	2	4	8
