CHILDCODE	LANGIDR5	LNCNSPR5	LNSPKR5	LNREADR5	LNWRTER5
71046	2	7	1	1	1
71046	3	5	4	2	2
71047	1	1	1	1	1
71047	2	5	3	3	4
71047	3	7	3	1	1
71049	1	1	1	1	1
71049	2	7	1	1	1
71049	3	5	2	2	2
71050	1	1	1	1	1
71050	2	4	3	5	5
81001	1	1	1	1	1
81001	2	7	3	2	2
81001	3	5	5	4	4
81003	1	1	1	1	1
81003	2	7	2	5	5
81004	1	1	1	2	2
81004	2	5	3	5	5
81006	1	1	1	2	2
81006	2	7	4	2	2
81006	3	5	5	3	3
81008	1	1	1	1	1
81008	2	7	2	1	1
81008	3	2	1	2	4
81009	1	1	1	1	1
81009	2	7	2	1	1
81010	1	1	1	1	1
81010	2	5	4	2	3
81010	3	7	3	4	4
81012	1	1	1	1	1
81012	2	7	2	1	1
81012	3	5	3	2	2
81015	1	1	3	3	3
81016	1	1	1	2	2
81016	2	2	1	5	5
81017	1	1	1	2	2
81017	2	7	4	2	3
81018	1	1	2	2	2
81019	1	1	1	2	1
81019	2	7	2	4	4
81020	1	1	1	1	1
81020	2	7	3	3	3
81021	1	5	4	2	2
81021	2	1	1	1	1
81021	3	7	1	1	1
81022	1	1	1	2	2
81022	2	7	4	4	4
81022	3	2	3	5	5
81022	4	5	3	5	5
81023	1	1	1	2	3
81025	1	1	1	1	1
81025	2	7	4	4	4
81027	1	1	1	1	1
81027	2	7	2	1	1
81028	1	1	1	1	1
81028	2	7	5	4	4
81029	1	1	1	1	1
81029	2	7	2	2	2
81030	1	1	1	2	3
81030	2	7	5	3	4
81032	1	1	1	1	1
81032	2	7	4	4	4
81033	1	7	4	3	3
81033	2	1	3	2	3
81034	1	1	1	3	3
81034	2	7	5	4	4
81036	1	1	1	1	1
81036	2	7	3	3	2
81036	3	5	5	4	3
81037	1	1	1	1	1
81037	2	7	4	3	3
81038	1	1	1	1	1
81038	2	7	3	2	2
81039	1	1	1	1	1
81039	2	7	4	3	3
81040	1	1	1	1	1
81040	2	7	3	1	1
81040	3	5	4	2	2
81042	1	1	1	2	2
81042	2	7	5	4	4
81043	1	1	1	1	1
81043	2	7	3	2	1
81043	3	5	5	3	3
81044	1	1	1	1	1
81044	2	7	3	1	1
81046	1	1	1	1	1
81046	2	7	3	2	2
81047	1	1	1	1	1
81047	2	7	5	3	3
81047	3	5	4	4	3
81049	1	1	1	1	1
81049	2	7	2	1	1
81049	3	5	3	2	2
81050	1	1	1	1	1
81050	2	7	1	1	1
91001	1	1	2	3	3
91002	1	1	1	1	1
91002	2	7	3	1	1
91003	1	1	1	1	1
91003	2	5	4	3	3
91003	3	7	1	1	1
91005	1	1	1	2	2
91005	2	7	4	2	2
91005	3	5	5	4	3
91006	1	1	1	1	1
91006	2	7	3	1	1
91006	3	5	5	1	1
91007	1	1	2	5	5
91008	1	1	1	4	4
91009	1	1	2	2	2
91009	2	5	2	2	5
91009	3	7	4	4	5
91010	1	1	1	1	1
91010	2	7	2	2	2
91010	3	5	4	3	4
91012	1	1	2	3	3
91012	2	7	5	4	4
91014	1	1	2	3	3
91015	1	1	1	2	2
91017	1	1	1	2	3
91018	1	1	1	4	4
91019	1	1	1	1	1
91021	1	1	1	1	1
91021	2	7	4	3	3
91022	1	1	1	2	2
91022	2	7	4	3	3
91023	1	1	1	1	1
91023	2	7	2	2	2
91025	1	1	1	1	1
91025	2	2	1	3	3
91026	1	1	1	2	2
91027	1	1	1	4	4
91030	1	1	1	1	1
91030	2	7	3	1	1
91033	1	1	1	1	1
91033	2	7	2	2	2
91034	1	1	1	1	1
91034	2	7	2	1	2
91034	3	6	3	5	5
91037	1	1	2	2	2
91037	2	7	2	2	2
91037	3	5	4	3	3
91039	1	1	2	3	3
91040	1	1	1	5	5
91041	1	1	1	2	2
91041	2	7	5	3	4
91042	1	1	1	1	2
91042	2	7	5	4	4
91044	1	1	1	1	1
91044	2	7	3	2	2
91044	3	5	4	3	2
91045	1	1	1	1	1
91045	2	7	3	1	1
91045	3	5	4	2	1
91046	1	1	1	2	1
91047	1	1	1	1	1
91047	2	7	3	2	1
91047	3	5	5	3	3
91049	1	1	1	2	3
91049	2	2	1	2	4
91049	3	5	2	4	4
91049	4	7	5	4	4
101001	1	1	1	1	1
101001	2	5	2	2	3
101001	3	7	3	2	2
101001	4	3	4	4	5
101003	1	1	1	1	1
101003	2	7	2	1	1
101003	3	5	2	2	1
101003	4	6	3	5	5
101003	5	6	4	5	5
101003	6	3	4	5	5
101004	1	1	1	1	1
101004	2	7	1	1	1
101004	3	5	3	1	3
101005	1	1	1	1	1
101005	2	7	1	1	1
101006	1	1	1	1	1
101006	2	7	2	1	1
101006	3	5	4	3	2
101008	1	1	1	1	1
101008	2	7	2	1	1
101008	3	3	2	3	5
101008	4	5	2	3	2
101009	1	1	2	2	2
101009	2	7	1	1	1
101009	3	5	3	2	2
101011	1	1	1	1	1
101011	2	7	2	1	1
101011	3	3	1	5	5
101012	1	1	1	1	1
101012	2	5	1	1	2
101012	3	7	2	1	1
101013	1	1	2	2	3
101013	2	7	2	1	1
101013	3	5	3	2	2
101014	1	1	1	1	1
101014	2	7	4	4	4
101017	1	1	2	2	3
101017	2	7	3	2	2
101017	3	5	3	3	4
101018	1	1	1	1	1
101018	2	7	3	1	1
101018	3	5	3	2	2
101019	1	1	3	3	2
