CHILDID	PREID	AGEPRESC	PRESCDUR	PRESCTYP	PAYPRESC	PRESCCRE	DAYSPRES	HRSPRESC	PRESCVIS
VN060043	1	48	4	3	1	2	5	3	1
VN060044	1	48	4	3	1	3	5	3	1
VN060045	1	36	4	3	1	1	5	4	1
VN060047	1	48	4	3	1	2	5	3	1
VN060048	1	36	4	3	1	1	5	4	0
VN060049	1	48	4	3	1	2	5	3	1
VN060050	1	36	4	3	1	1	5	4	1
VN060051	1	36	4	3	1	1	5	4	1
VN060052	1	42	4	3	1	2	5	3	0
VN060056	1	60	4	3	1	2	5	3	1
VN060057	1	48	4	3	1	2	5	3	1
VN060060	1	59	4	3	1	2	5	4	1
VN060062	1	36	4	3	1	1	5	4	1
VN060063	1	36	4	3	1	1	5	4	1
VN060064	1	36	4	3	1	2	5	4	1
VN060065	1	36	3	3	1	3	5	4	1
VN060066	1	36	4	3	1	2	5	3	1
VN060067	1	58	4	3	1	3	5	3	1
VN060068	1	36	4	3	1	2	5	3	1
VN060069	1	60	4	3	1	2	5	4	1
VN060070	1	36	4	3	1	1	5	4	1
VN060071	1	36	4	3	1	2	5	3	0
VN060073	1	36	4	3	1	1	5	4	1
VN060074	1	54	4	3	1	2	5	4	1
VN060075	1	36	4	3	1	2	5	3	1
VN060076	1	48	4	3	1	2	5	3	0
VN060077	1	36	4	3	1	2	5	4	1
VN060078	1	36	4	3	1	1	5	4	0
VN060079	1	48	4	3	1	3	5	4	1
VN060080	1	36	4	3	1	2	5	3	0
VN060081	1	36	4	3	1	2	5	3	0
VN060082	1	48	4	3	1	3	5	4	1
VN060083	1	36	4	3	1	3	5	4	1
VN060084	1	36	4	3	1	2	5	4	1
VN060085	1	48	4	3	1	2	5	3	1
VN060086	1	36	4	3	1	2	5	4	1
VN060087	1	36	4	3	1	2	5	4	0
VN060088	1	36	4	3	1	2	5	3	1
VN060089	1	60	4	3	1	3	5	4	1
VN060091	1	48	4	3	1	2	5	3	0
VN060092	1	36	4	3	1	1	5	4	1
VN060093	1	48	4	3	1	1	5	4	0
VN060094	1	36	4	3	1	2	5	3	0
VN060095	1	36	4	3	1	1	5	4	1
VN060096	1	48	4	3	1	2	5	3	0
VN060097	1	36	4	3	1	1	5	4	1
VN060098	1	36	4	3	1	1	5	4	1
VN060099	1	48	4	3	1	3	5	4	1
VN060103	1	36	4	3	1	1	5	4	1
VN060104	1	48	4	3	1	2	5	3	1
VN060105	1	36	4	3	1	1	5	4	1
VN060106	1	60	4	3	1	2	5	3	1
VN060108	1	48	4	3	1	3	5	3	1
VN060109	1	48	4	3	1	2	5	3	1
VN060111	1	48	4	3	1	2	5	3	0
VN060119	1	36	4	3	1	2	5	3	0
VN060127	1	48	4	3	1	2	5	3	0
VN070001	1	50	1	3	1	2	5	4	1
VN070003	1	59	1	3	1	2	5	3	1
VN070004	1	37	4	3	1	2	5	3	1
VN070005	1	56	1	3	1	2	5	3	0
VN070006	1	48	4	3	1	3	5	4	0
VN070007	1	63	1	3	1	2	5	4	1
VN070009	1	63	1	3	1	3	5	4	0
VN070010	1	42	4	3	1	2	5	3	1
VN070011	1	54	1	3	1	1	5	3	1
VN070013	1	58	1	3	1	2	5	3	1
VN070015	1	-77	1	3	1	3	5	4	0
VN070017	1	57	1	3	1	2	5	4	1
VN070018	1	45	4	3	1	2	5	3	1
VN070019	1	45	4	3	1	2	5	3	1
VN070022	1	49	3	3	1	3	5	4	1
VN070023	1	-77	4	77	77	2	77	77	77
VN070024	1	48	4	3	1	2	5	3	1
VN070026	1	56	1	3	1	2	5	3	1
VN070027	1	53	1	3	1	3	5	4	1
VN070028	1	56	1	3	1	3	5	3	1
VN070029	1	55	1	3	1	2	5	3	1
VN070031	1	46	3	3	1	2	5	3	1
VN070032	1	50	4	3	1	2	5	4	0
VN070034	1	50	4	3	1	2	5	4	0
VN070036	1	45	4	3	1	2	5	3	1
VN070037	1	36	4	3	1	3	5	4	0
VN070038	1	53	1	3	1	3	5	4	1
VN070039	1	61	1	3	1	2	5	4	1
VN070040	1	55	1	3	1	3	5	4	0
VN070041	1	53	1	3	1	2	5	3	1
VN070042	1	66	1	3	1	2	5	3	1
VN070043	1	48	4	3	1	5	5	3	1
VN070044	1	69	1	3	1	3	5	4	0
VN070045	1	38	4	3	1	2	5	4	1
VN070046	1	54	4	3	1	2	5	3	1
VN070049	1	55	1	3	1	3	5	3	1
VN070050	1	57	4	3	1	2	5	3	1
VN070051	1	47	3	3	1	2	5	4	0
VN070052	1	58	1	3	1	2	5	4	0
VN070053	1	46	3	3	1	3	5	3	1
VN070054	1	59	1	3	1	3	5	4	1
VN070055	1	56	1	2	1	3	5	3	1
VN070058	1	48	4	3	1	2	5	3	1
VN070059	1	48	4	3	0	2	5	3	1
VN070060	1	51	3	3	1	3	5	4	0
VN070063	1	59	1	3	1	2	5	4	1
VN070064	1	48	4	3	1	2	5	4	1
VN070065	1	49	3	3	1	2	5	3	1
VN070066	1	58	1	3	1	2	6	4	1
VN070067	1	60	1	3	1	2	5	3	1
VN070068	1	60	1	3	1	2	5	3	1
VN070069	1	63	1	3	1	3	5	4	0
VN070070	1	47	4	3	1	2	5	4	1
VN070075	1	58	4	3	1	2	5	3	1
VN070076	1	61	1	3	1	2	5	3	1
VN070077	1	61	1	3	1	2	5	2	1
