CHILDCODE	CRSPIDR4	GAVCRDR4	WHORCVR4	TKEOUTR4	LOANMTR4	LOANYRR4	AMTCRDR4	INTRTER4	PYBACKR4	PYBCTMR4	NOBACKR4
81025	4	7	1	1	3	2002	2000	20	1	1	 
81026	1	8	1	7	1	2006	700	0	0	 	 
81026	2	8	1	2	3	2005	300	0	1	1	 
81027	1	10	1	10	12	2003	6000	0	1	1	 
81027	2	8	1	10	77	2004	2000	0	1	1	 
81027	3	10	1	10	10	2005	200	0	1	1	 
81027	4	10	1	10	3	2006	100	0	1	1	 
81028	1	10	1	2	11	2005	2000	0	1	1	 
81028	2	10	2	2	11	2005	50	0	1	1	 
81029	1	7	1	1	5	2002	2500	15	1	1	 
81029	2	8	1	2	5	2003	300	0	1	1	 
81029	3	8	1	2	5	2004	100	0	1	1	 
81029	4	8	1	2	8	2005	500	0	1	1	 
81029	5	8	1	18	2	2006	60	0	1	1	 
81030	1	10	0	40	3	2005	300	0	1	1	 
81031	1	9	2	6	6	2003	100	0	1	1	 
81031	2	9	2	10	77	2004	100	0	1	1	 
81031	3	10	1	10	9	2003	1500	0	1	1	 
81031	4	10	1	10	2	2006	150	0	1	1	 
81032	1	8	1	1	8	2005	300	0	1	1	 
81032	2	8	1	10	4	2005	50	0	1	1	 
81032	3	8	1	2	8	2004	400	0	1	1	 
81033	1	9	2	2	7	2004	1500	0	0	 	 
81033	2	9	3	6	1	300	0	0	1	1	 
81034	1	7	1	1	4	2005	4000	11	0	 	 
81035	1	9	2	2	9	2005	100	0	0	 	 
81035	2	9	2	7	1	2006	40000	0	1	1	 
81035	3	4	16	3	1	2006	100	0	1	1	 
81036	1	8	18	2	8	2005	1000	0	1	1	 
81036	2	8	2	1	2	2006	290	0	0	 	 
81036	3	8	2	1	3	2006	500	0	0	 	 
81037	1	9	1	2	12	2004	300	0	1	0	2
81039	1	10	1	2	77	2002	100	0	1	1	 
81039	2	10	1	2	77	2002	50	0	1	1	 
81039	3	10	1	40	77	2002	200	0	1	1	 
81039	4	8	1	2	77	2003	200	0	1	1	 
81039	5	8	1	4	77	2003	100	0	1	1	 
81039	6	10	1	2	77	2004	100	0	1	1	 
81039	7	10	1	2	77	2004	150	0	1	1	 
81039	8	8	1	4	2	2005	100	0	1	1	 
81039	9	10	1	7	3	2005	280	0	0	 	 
81039	10	10	1	6	9	2005	100	0	1	1	 
81039	11	10	1	6	1	2006	100	0	0	 	 
81039	12	10	1	2	12	2005	200	0	0	 	 
81040	1	8	1	7	1	2006	100	0	0	 	 
81040	2	8	2	7	4	2005	200	0	0	 	 
81040	3	8	1	6	5	2004	120	0	1	1	 
81041	1	7	1	14	10	2002	1150	15	1	0	4
81041	2	8	1	7	5	2005	600	0	1	1	 
81041	3	8	1	7	11	2005	500	0	1	0	12
81041	4	8	1	7	12	2005	300	0	0	 	 
81042	1	7	1	1	4	2005	4000	15	0	 	 
81042	2	8	1	7	77	2003	300	0	0	 	 
81042	3	8	1	7	1	2006	200	0	0	 	 
81043	1	4	1	2	11	2005	500	0	1	1	 
81045	1	9	2	7	12	2005	2000	0	0	 	 
81046	1	9	2	7	5	2005	400	0	0	 	 
81046	2	8	2	15	1	2006	100	0	0	 	 
81047	1	9	2	13	3	2005	100	0	1	1	 
81047	2	9	2	4	11	2005	100	0	0	 	 
81048	1	10	2	2	77	2003	150	0	1	1	 
81048	2	8	2	2	5	2004	200	0	1	1	 
81048	3	8	2	2	4	2005	100	0	1	1	 
81048	4	10	2	7	3	2006	70	0	1	1	 
81049	1	8	20	2	9	2005	3000	0	1	0	6
81049	2	10	20	1	1	2006	200	0	1	1	 
81050	1	8	1	7	6	2002	500	0	1	1	 
81050	2	10	2	2	12	2004	1000	0	1	1	 
81050	3	10	2	2	12	2005	50	0	1	1	 
81050	4	8	1	2	7	2005	100	0	1	1	 
91001	1	7	1	1	5	2003	1500	15	1	1	 
91001	2	7	1	1	5	2004	2500	15	1	1	 
91001	3	7	1	1	4	2005	3500	15	1	1	 
91001	4	9	1	1	10	2005	50	0	1	1	 
91002	1	8	16	40	2	2006	3000	0	1	1	 
91002	2	8	16	4	4	2004	200	0	1	1	 
91002	3	8	16	1	10	2003	1500	0	1	1	 
91003	1	7	2	1	9	2005	1500	15	0	 	 
