CHILDID	OUTID	REMRELR3	REMESTR3	REMGODR3
VN130026	3	13	200	0
VN130027	1	13	600	0
VN130027	2	5	250	0
VN130027	3	6	250	0
VN130028	1	5	200	0
VN130028	2	6	200	0
VN130028	3	13	200	0
VN130029	1	5	200	100
VN130029	2	6	200	100
VN130029	3	13	300	0
VN130029	4	19	0	100
VN130030	1	13	400	210
VN130030	2	14	300	0
VN130030	3	5	0	480
VN130032	1	13	500	0
VN130032	2	5	400	0
VN130032	3	6	400	0
VN130033	1	13	600	100
VN130034	1	22	300	0
VN130035	1	13	800	0
VN130035	2	5	1500	200
VN130035	3	6	1800	200
VN130036	1	13	700	0
VN130036	2	19	400	0
VN130037	1	13	100	0
VN130037	2	14	50	0
VN130038	1	5	1000	0
VN130038	2	6	1000	0
VN130038	3	13	1000	0
VN130039	1	13	100	0
VN130039	2	14	250	0
VN130039	3	19	100	17
VN130040	1	13	300	0
VN130040	2	5	300	0
VN130040	3	6	300	0
VN130040	4	19	200	0
VN130041	1	13	50	0
VN130041	2	14	100	50
VN130041	3	5	150	0
VN130042	1	13	700	0
VN130042	2	5	0	500
VN130042	3	19	500	0
VN130043	1	6	500	300
VN130043	2	5	500	300
VN130044	1	13	500	0
VN130045	1	6	300	0
VN130045	2	13	300	0
VN130046	1	5	500	0
VN130046	2	13	300	0
VN130048	1	13	500	0
VN130049	1	6	2400	0
VN130050	1	13	800	0
VN130051	1	17	500	0
VN130051	2	13	500	0
VN130052	1	6	1000	500
VN130052	2	5	500	500
VN130052	3	13	500	0
VN130052	4	19	200	100
VN130053	1	13	250	0
VN130053	2	19	50	0
VN130053	3	6	500	0
